name,permalink,perfect_match,schools,school_subjects,job_titles,founded_on,location,undisclosed_amount,fund 0,categories,fund 1,fund 2,fund 3,fund 4,fund 5,fund 6,fund 7,fund 8,fund 9,fund 10,fund 11,fund 12,fund 13,fund 14,fund 15,fund 16,fund 17,fund 18,fund 19,fund 20,fund 21,fund 22,fund 23,fund 24,fund 25,num_fund_rounds
Multicoin Capital,multicoin-capital,no,new-york-university-stern-school-of-business,Finance & Management,"Managing Partner, Co-founder",2017,"Austin, Texas",no,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Muviware by Entertainment Cloud Solutions,muviware-by-entertainment-cloud-solutions,no,,,,2017,"Austin, Texas",no,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Napzack,napzack,no,,,,2017,"Austin, Texas",no,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Octanage,octanage,no,,,Host & Co-founder,2017,"Austin, Texas",no,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Omaiven Health,omaiven-health,no,,,CEO,2018,"Austin, Texas",no,2019:120000,"Artificial Intelligence, Health Care, Information Technology, Machine Learning, Software",,,,,,,,,,,,,,,,,,,,,,,,,,1
Ontic,ontic-technologies,no,,,,2017,"Austin, Texas",no,2021:40000000,"Cyber Security, Information Technology, Physical Security, SaaS, Security, Software",2020:12000000,2019:4650000,,,,,,,,,,,,,,,,,,,,,,,,3
Orchard & Grove,orchard-grove,no,,,,2017,"Austin, Texas",no,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
OsmosisAI,osmosisai,no,,,,2017,"Austin, Texas",no,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
OutoftheCloud,outofthecloud,no,,,,2017,"Austin, Texas",no,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Oyasin,oyasin,no,,,,2017,"Austin, Texas",yes,0,"E-Commerce, Fashion, Health Care, Lifestyle, Retail",,,,,,,,,,,,,,,,,,,,,,,,,,1
Pactum IO,pactum-io,no,midwestern-state-university-wichita-falls,Computer Science,"Developer, Senior Software Developer, Senior K2 Engineer, CEO",2017,"Austin, Texas",no,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Partake.,partake,no,,,"CTO, Founder, CTO, Co-Founder & CEO",2017,"Austin, Texas",yes,0,"Payments, Software",0,,,,,,,,,,,,,,,,,,,,,,,,,2
Patchr,patchr,no,,,,2017,"Austin, Texas",yes,0,"Electronics, Software, Software Engineering",0,2018:100000,,,,,,,,,,,,,,,,,,,,,,,,3
PerfectQuote,perfectquote,no,,,Chief Executive Officer,2017,"Austin, Texas",no,2019:1680000,"Analytics, Employee Benefits, Health Insurance, InsurTech, Life Insurance, Property Insurance",2017:250000,,,,,,,,,,,,,,,,,,,,,,,,,2
Perspective,perspective,no,,,,2017,"Austin, Texas",no,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
PetroChain,petrochain,no,,,Founder & CEO,2017,"Austin, Texas",no,2019:400000,"Blockchain, Crowdfunding, Cryptocurrency, Energy, Financial Services",,,,,,,,,,,,,,,,,,,,,,,,,,1
Pilosa,pilosa,no,,,"Exec Chairman, CEO and Co-Founder, Advisor, Member, CEO, CEO, Advisory Board",2017,"Austin, Texas",no,2018:3671889,"Analytics, Big Data, Cloud Data Services, Data Storage, Database",,,,,,,,,,,,,,,,,,,,,,,,,,1
Pinpoint.com,pinpoint-5,no,vanderbilt-university,Electrical Engineering,"Co-Founder & CTO, Team Member, Member of the Board of Directors, Co-founder & Chief Product Officer, Co-founder & CEO, Team Member, Team Member",2000,"Austin, Texas",yes,0,"Analytics, Artificial Intelligence, Machine Learning, Predictive Analytics, SaaS, Software",2019:13500000,0,2017:3000000,2000:5000000,,,,,,,,,,,,,,,,,,,,,,5
Pushnami,pushnami,no,,,Chief Executive Officer,2017,"Austin, Texas",no,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Rabbet,contract-simply,no,"mccombs-school-of-business, university-of-virginia","Entrepreneurship/Entrepreneurial Studies, Architecture; Structural Engineering","CEO, President of the Board, Inventor",2014,"Austin, Texas",yes,2021:1821527,"Artificial Intelligence, Commercial Lending, Commercial Real Estate, Construction, Financial Services, FinTech, Software",2019:8000000,0,2017:120000,0,0,,,,,,,,,,,,,,,,,,,,,6
Rosso & Flynn,rosso-flynn,no,massachusetts-institute-of-technology-sloan-school-of-management,unknown,"CEO & Co-Founder, Mentor in Residence, Chief Operating Officer, Board of Directors, Senior Product Manager, Oral Care Products - Puerto Rico, Advisor, Corporate Desktop Product Development Group – Product Strategy, Marketing Manager, Founder & CEO",2017,"Austin, Texas",yes,2018:120000,"Cooking, Food and Beverage, Food Processing",0,,,,,,,,,,,,,,,,,,,,,,,,,2
SaltyCloud,saltycloud,no,,,Co-Founder,2017,"Austin, Texas",no,2020:120000,"Compliance, Cyber Security, Information Technology, Risk Management, Security",,,,,,,,,,,,,,,,,,,,,,,,,,1
Sana Benefits,sana-benefits,no,,,CEO & Co-founder,2017,"Austin, Texas",no,2021:20000000,"Employee Benefits, Health Care, Insurance",2020:20800000,2019:3600000,2018:2359000,,,,,,,,,,,,,,,,,,,,,,,4
SeriesX,seriesx,no,university-of-california-berkeley,Mathematics,"CTO & Co-Founder, CTO & Co-Founder, President",2017,"Austin, Texas",no,2018:1999650,"Internet, Security, Service Industry",2017:350000,,,,,,,,,,,,,,,,,,,,,,,,,2
SerpApi,serpapi,no,,,,2017,"Austin, Texas",no,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
ShopManagerApp,shopmanagerapp,no,,,,2017,"Austin, Texas",no,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Site Identify,site-identify,no,,,,2017,"Austin, Texas",no,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Smartshunt Technologies,smartshunt-technologies,no,,,,2017,"Austin, Texas",yes,0,"Health Care, Manufacturing",,,,,,,,,,,,,,,,,,,,,,,,,,1
Social Evolution,social-evolution,no,,,,2017,"Austin, Texas",no,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Sparkvents,sparkvents,no,,,,2017,"Austin, Texas",no,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Strings,strings,no,university-of-washington,Computer Science,"CEO & Founder, CEO & Founder, CEO & President, CEO & President, CEO, Software Engineer, CEO, CEO & Founder, CEO",2017,"Austin, Texas",no,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Swayy,swayy-bcd2,no,,,Co-founder,2017,"Austin, Texas",no,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Synthetik Applied Technologies,synthetik-applied-technologies,no,,,COO,2017,"Austin, Texas",yes,2019:199952,"Consulting, Information Technology, Software",2019:999937,0,2019:149937,2019:399999,2018:119990,,,,,,,,,,,,,,,,,,,,,6
Tankee,tankee-inc,no,,,Co-Founder,2017,"Austin, Texas",no,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
TeacherTalent,teachertalent,no,,,CEO,2017,"Austin, Texas",yes,0,"Big Data, EdTech, Software",2017:120000,,,,,,,,,,,,,,,,,,,,,,,,,2
The Greenfield Guild,the-greenfield-guild,no,,,,2017,"Austin, Texas",no,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
ThingsConnect IoT,thingsconnect,no,,,"Managing Director, President & CEO, President & CEO",2017,"Austin, Texas",no,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Transmute,transmute-industries,no,"stevens-institute-of-technology, stevens-institute-of-technology","Computer Science, Cybersecurity",CTO & Co-Founder,2017,"Austin, Texas",no,2020:2040000,"Asset Management, Blockchain, Identity Management, Logistics, Software, Supply Chain Management",2018:1170000,,,,,,,,,,,,,,,,,,,,,,,,,2
