permalink+accelerator,permalink,cohort_year,accelerator,founders
fellow@y combinator,fellow,2016,y combinator,Panashe Mahachi
femeninas@500startups,femeninas,2012,500startups,"Mariana Neman, Ricardo Lerch"
fibo@y combinator,fibo,2017,y combinator,"Christopher Smeder, Ruben Gonzalez, Zane Salim"
fileboard@500startups,fileboard,2011,500startups,"Khuram Hussain, Waseem Sadiq"
ink-mobility@y combinator,ink-mobility,2012,y combinator,"Anand Dass, Brett van Zuiden, Liyan Chang, Thomas Georgiou"
fillmyfork@TheAlchemistAccelerator,fillmyfork,2015,TheAlchemistAccelerator,"Arun Nijhawan, Kartik Shastri"
final@y combinator,final,2015,y combinator,"Aaron Frank, Andrew Dietrich, Matt Rothstein"
fingertips-lab@500startups,fingertips-lab,2016,500startups,"Alex Woolf, Ben Park"
finova-financial@500startups,finova-financial,2016,500startups,Derek Acree
finrise-inc@NFX,finrise-inc,2015,NFX,"Garrett Smallwood, Mazi Arjomand, Tyler Quiel"
firebase@y combinator,firebase,2011,y combinator,"Andrew Lee, James Tamplin"
firstcut@TheAlchemistAccelerator,firstcut,2018,TheAlchemistAccelerator,"Jorge Soto, Lucy Richards, Nicole Laniado, TomÏ∞ºs De Matteis"
evisors@y combinator,evisors,2017,y combinator,Ari Hollander Hollander
first-impression@UpwestLabs,first-impression,2014,UpwestLabs,"Omer Miller, Roy Peleg"
fitocracy@500startups,fitocracy,2011,500startups,"Brian Wang, Richard Talens"
fivestars-loyalty@y combinator,fivestars-loyalty,2011,y combinator,"Matt Doka, Victor Ho"
fivetran@y combinator,fivetran,2013,y combinator,"George Fraser, Taylor Brown"
fixed-3@y combinator,fixed-3,2014,y combinator,"David Hegarty, DJ Burdick"
flagr@y combinator,flagr,2006,y combinator,"Cole Rise, David Wurtz, Matt Colyer"
flashratings@500startups,flashratings,2015,500startups,
flaviar@y combinator,flaviar,2014,y combinator,"Grisa Soba, Jugoslav Petkovic"
flexport@y combinator,flexport,2014,y combinator,Ryan Petersen
flexreceipts@y combinator,flexreceipts,2016,y combinator,"Jay Patel, Tomas Diaz"
fliggo@y combinator,fliggo,2008,y combinator,"Chrys Bader-Wechseler, Daniel Rhodes"
flightcar@y combinator,flightcar,2013,y combinator,"Kevin Petrovic, Rujul Zaparde, Shri Ganeshram"
flightcaster@y combinator,flightcaster,2009,y combinator,"Evan Konwiser, James Bracy, Jason Freedman, Jon Bracy"
flightfox@y combinator,flightfox,2012,y combinator,"Lauren McLeod, Todd Sullivan, Wojciech Borkowski"
filp@y combinator,filp,2015,y combinator,Kemar Newell
comfee@Highway1,comfee,2015,Highway1,"Dmitry Vinogradov, Ksenia Vinogradova, Sergey Vinogradov"
flirtey@y combinator,flirtey,2015,y combinator,"Ahmed Haider, Matthew Sweeny, Tom Bass"
the-float-yard@500startups,the-float-yard,2016,500startups,"Andy Burke, Kevin Bass, Max Klein"
floobits@y combinator,floobits,2013,y combinator,"Geoff Greer, Matt Kaniaris"
flotype@y combinator,flotype,2011,y combinator,Darshan Shankar
flowcast@TheAlchemistAccelerator,flowcast,2016,TheAlchemistAccelerator,"Ken So, Winnie Cheng"
flowspace@y combinator,flowspace,2017,y combinator,"Ben Eachus, Jason Harbert"
floydhub@y combinator,floydhub,2017,y combinator,"Naren Thiagarajan, Sai Prashanth Soundararaj"
flutter-io@y combinator,flutter-io,2012,y combinator,"Mehul Nariyawala, Navneet Dalal"
flutterwave@y combinator,flutterwave,2016,y combinator,Iyinoluwa Aboyeji
flye-2@500startups,flye-2,2016,500startups,"Alexander Ball, David Thompson, Ethan Berl, Preston McGee Jr."
flyer@500startups,flyer,2013,500startups,Isaac Herrera (jotillo)
flynn@y combinator,flynn,2014,y combinator,Jonathan Rudenberg
flytenow@y combinator,flytenow,2014,y combinator,"Aakash Patel, Alan Guichard, Andrew Mass, Matt Voska"
fobo@y combinator,fobo,2011,y combinator,"Ed McManus, Ryan Mickle"
focal-systems@y combinator,focal-systems,2016,y combinator,"Adriano Quiroga, Francois Chaubard, Michael Cantalino"
card-for-coin@BoostVC,card-for-coin,2015,BoostVC,"Chris Martin, Corbin Pon, Matt Luongo"
folia-water@500startups,folia-water,2017,500startups,"Jonathan Levine, Theresa (Teri) Dankovich"
follow-the-coin@BoostVC,follow-the-coin,2014,BoostVC,Tina Hui
font-awesome@y combinator,font-awesome,2015,y combinator,"Dave Gandy, Travis Chase"
fontacto@500startups,fontacto,2012,500startups,"Joaquin Martinez Fernandez, Ricardo Cacique Galvan"
foodoro@y combinator,foodoro,2009,y combinator,Jason Kim
force-2@TheAlchemistAccelerator,force-2,2017,TheAlchemistAccelerator,"Alexander Tulko, Illia Kukharenko, Lisa Voronkova"
forever-labs@y combinator,forever-labs,2017,y combinator,"Mark Katakowski, Steven Clausnitzer"
forrst@500startups,forrst,2011,500startups,Kyle Bragger
foxpass@y combinator,foxpass,2015,y combinator,Aren Sandersen
foxtype@500startups,foxtype,2016,500startups,"Alex Jiang, Motoki Wu, Scott Li"
framed-data@y combinator,framed-data,2014,y combinator,"Elliot Block, Thomson Nguyen"
freedcamp@TheAlchemistAccelerator,freedcamp,2014,TheAlchemistAccelerator,Angel Grablev
freemit@TheAlchemistAccelerator,freemit,2015,TheAlchemistAccelerator,"John Biggs, Richard Svinkin"
freshplum@y combinator,freshplum,2011,y combinator,"Nick Alexander, Samuel Odio"
friend-trusted@500startups,friend-trusted,2014,500startups,
friendfit@fbFund,friendfit,2009,fbFund,"Leo Hochberg, Sirin Hochberg"
friendlydata@500startups,friendlydata,2017,500startups,"Alex Zaytsav, Alexey Zenovich, Michael Rumiancau"
friendspot@y combinator,friendspot,2017,y combinator,"Eddie Zhang, Michael McIntyre"
alively@NFX,alively,2016,NFX,"Ray Lee, Vadim Lavrusik, Vincent Tuscano"
frogmetrics@y combinator,frogmetrics,2008,y combinator,"D. Scott Phoenix, Jeremy Mims"
front-app@y combinator,front-app,2014,y combinator,"Laurent Perrin, Mathilde Collin, Thibaud Elziere"
frontleaf@TheAlchemistAccelerator,frontleaf,2013,TheAlchemistAccelerator,"Karl Goldstein, Rachel English, Tom Krackeler"
fuelpanda@500startups,fuelpanda,2016,500startups,Pavan Boob
fulfil-io@500startups,fulfil-io,2015,500startups,"Prakash Pandey, Rituparna Panda, Sharoon Thomas, Tarun Bhardwaj"
function-of-beauty@y combinator,function-of-beauty,2016,y combinator,"Hien Nguyen, Joshua Maciejewski, Zahir Dossa"
funderful@500startups,funderful,2017,500startups,Raimonds Kulbergs
fundersclub@y combinator,fundersclub,2012,y combinator,"Alex Mittal, Boris Silver"
funji@fbFund,funji,2009,fbFund,
funnely@500startups,funnely,2014,500startups,"Gabriel Maffia, Juan Pablo Mansor, Lucila Campos, Susana Cipriota"
futureadvisor@y combinator,futureadvisor,2010,y combinator,"Bo Lu, Clyde Law, Jared McFarland, Jon Xu"
camperoo@y combinator,camperoo,2014,y combinator,Emmie Chang
fysical@500startups,fysical,2016,500startups,"Ben Smith, John Livingston Foley III, Justin Mann"
gainful@y combinator,gainful,2018,y combinator,Eric Wu
gamador@y combinator,gamador,2010,y combinator,Kevin Lacker
gameday-3@y combinator,gameday-3,2017,y combinator,"LC Carrier, Thierry Skoda"
gamelynx@y combinator,gamelynx,2017,y combinator,"Alexander Mistakidis, Carter Minshull"
gameyola@fbFund,gameyola,2009,fbFund,"Abhishek (Abhi) Kumar, Drew Uher, Nicolas Kokkalis, Sanaz Motahari"
gantto@y combinator,gantto,2010,y combinator,Federico Barbagli
gas-pos-inc@500startups,gas-pos-inc,2016,500startups,Joshua Smith
gazehawk@y combinator,gazehawk,2010,y combinator,"Brian Krausz, Joe Gershenson"
uberlabs@500startups,uberlabs,2012,500startups,"Debayan Banerjee, Deobrat Singh, Saurab Paruthi"
gecko-robotics@y combinator,gecko-robotics,2016,y combinator,"Jake Loosararian, Troy Demmer"
geddit@ImagineK12,geddit,2013,ImagineK12,"Anton Troynikov, Justin Mann"
geekatoo@500startups,geekatoo,2013,500startups,"Christian Shelton, Kevin Davis"
gemnote@y combinator,gemnote,2015,y combinator,Ashley Wong
genius-com@y combinator,genius-com,2011,y combinator,"Ilan Zechory, Mahbod Moghadam, Tom Lehman"
genome-compiler@NFX,genome-compiler,2015,NFX,"Omri Amirav-Drory, Reese Jones, Roy Nevo"
genoox@UpwestLabs,genoox,2014,UpwestLabs,"Amir Trabelsi, Moshe Einhorn"
georama@500startups,georama,2017,500startups,Nihal Advani
get-lighthouse@500startups,get-lighthouse,2016,500startups,Jason Evanish
getaccept@y combinator,getaccept,2016,y combinator,"Carl Carell, Jonas Blanck, Mathias Thulin, Samir Smajic"
getgoing-inc@y combinator,getgoing-inc,2012,y combinator,"Alek Strygin, Alek Vernitsky, Eli Rosenberg, Eli Rosenberg, Ilya Gluhovsky"
giftstarter@500startups,giftstarter,2015,500startups,"Arry Yu, Christie Gettler"
gigabryte@ImagineK12,gigabryte,2013,ImagineK12,"Michael Duong, Momo Akade"
gigster@y combinator,gigster,2015,y combinator,"Debo Olaosebikan, Roger Dickey"
gigwell-2@y combinator,gigwell-2,2016,y combinator,"Antonio Sierra, Glade Luco, Jeremie Habib"
ginkgo-bioworks@y combinator,ginkgo-bioworks,2014,y combinator,"Austin Che, Barry Canton, Jason Kelly, Reshma Shetty, Tom Knight"
ginzametrics@y combinator,ginzametrics,2010,y combinator,Ray Grieselhuber
gitlab-com@y combinator,gitlab-com,2015,y combinator,"Dmitriy Zaporozhets, Sytse Sijbrandij"
gitprime@y combinator,gitprime,2016,y combinator,"Ben Thompson, Travis Kimmel"
givecampus@y combinator,givecampus,2015,y combinator,"Kestrel Linder, Michael Kong"
giveffect@y combinator,giveffect,2015,y combinator,"Allan Shin, Anisa Mirza, Kevin Shin"
giveit100@500startups,giveit100,2014,500startups,Karen X. Cheng
givespark@y combinator,givespark,2012,y combinator,Joe Teplow
givesurance@500startups,givesurance,2014,500startups,Jennifer Rasiah
gizmodo@500startups,gizmodo,2011,500startups,Peter Rojas
glamst@500startups,glamst,2015,500startups,"Agustina Sartori, Carolina Banales"
glassmap@y combinator,glassmap,2011,y combinator,"Geoffrey Woo, Jon Zhang, Jono Chang"
glidian@TheAlchemistAccelerator,glidian,2017,TheAlchemistAccelerator,"Ashish Dua, Maxwell Wu, Robert Romano"
glimpsek12@y combinator,glimpsek12,2018,y combinator,Nicole Pezent
gliph@BoostVC,gliph,2013,BoostVC,"Nicholas S. Asch, Rob Banagale"
globekeeper@500startups,globekeeper,2017,500startups,
globevestor@BoostVC,globevestor,2013,BoostVC,"Ankur Shrivastava, Raju PN"
gluwa@500startups,gluwa,2016,500startups,"Gunyoung Park, Tae-lim Oh"
goalbook@ImagineK12,goalbook,2011,ImagineK12,"Daniel Jhin Yoo, Justin Su"
goatapp@y combinator,goatapp,2011,y combinator,"Daishin Sugano, Eddy Lu"
gobble@y combinator,gobble,2014,y combinator,Ooshma Garg
gocomm@y combinator,gocomm,2013,y combinator,Travis Dredd
gogocoin@500startups,gogocoin,2014,500startups,Tom Longson
gogograndparent@y combinator,gogograndparent,2016,y combinator,David Lung
gogohire@500startups,gogohire,2015,500startups,"Adarsh Uppula, Pete Ryan"
goldbelly@y combinator,goldbelly,2013,y combinator,"Joe Ariel, Joel Gillman, Trevor Stow, Vanessa Torrivilla"
goldenkey@NFX,goldenkey,2016,NFX,"Narayan Krishnan, Shayne Sowers, Tommy Sowers"
golorry@y combinator,golorry,2016,y combinator,"Jonathan Richards, Sanjay Mandava, Zijie Lin"
good-call-sports@fbFund,good-call-sports,2008,fbFund,
goodybag@y combinator,goodybag,2016,y combinator,Om Panchal
procurenow@500startups,procurenow,2017,500startups,"David Gertmenian-Wong, Liam Dorpalen"
govoluntr@500startups,govoluntr,2011,500startups,"Kevin Zittle, Young Han"
graffiti@y combinator,graffiti,2011,y combinator,"Jared Tame, Nikhil Pandit, Teng Siong Ong"
graft-concepts@y combinator,graft-concepts,2013,y combinator,"Anthony Ko, Danny Wen, Peter Szucs"
gravitational@y combinator,gravitational,2015,y combinator,"Alexander Klizhentas, Ev Kontsevoy, Taylor Wakefield"
green-way-laboratories-inc@500startups,green-way-laboratories-inc,2015,500startups,"Laurence Gorlick, Ted Cote"
greengar-studios@500startups,greengar-studios,2013,500startups,"Elliot Lee, Thuy Truong"
greentoe@y combinator,greentoe,2014,y combinator,"Andrew Kurland, Joe Marrapodi"
greo@y combinator,greo,2017,y combinator,"Brandon Hill, Elizabeth Davis, Tremaine Kirkman"
grid@y combinator,grid,2012,y combinator,"Josh Leong, Matt Tanwanteng, Nate Luzod, Paul Tibbert"
grid-raster@TheAlchemistAccelerator,grid-raster,2017,TheAlchemistAccelerator,"Dijam Panigrahi, Rishi Ranjan, Venkat Ramana Dass"
groove-2@TheAlchemistAccelerator,groove-2,2014,TheAlchemistAccelerator,"Alexander Kerschhofer, Austin Wang, Chris Rothstein"
groupahead@y combinator,groupahead,2015,y combinator,"Brian Glick, Julian Frumar"
groupcard@fbFund,groupcard,2008,fbFund,"Bob Ralian, John Anderson"
grouper-2@y combinator,grouper-2,2012,y combinator,"Michael Waxman, Tom Brown"
groupiter@500startups,groupiter,2012,500startups,"Christopher Noble, Christopher Noble, Theo Wilson"
grouptie@TheAlchemistAccelerator,grouptie,2013,TheAlchemistAccelerator,Chris McCann
convore@y combinator,convore,2011,y combinator,"Eric Florenzano, Eric Maguire, Leah Culver"
growbots@500startups,growbots,2015,500startups,"Adam Mazan, Greg Pietruszynski, Luke Deka"
grubmarket-inc@y combinator,grubmarket-inc,2015,y combinator,Mike Xu
gtrack-technologies@y combinator,gtrack-technologies,2016,y combinator,"Ashwin Amurthur, Teddy Guenin"
guidekick@500startups,guidekick,2014,500startups,"Aaron Rivera, Joshua Holland, Mark Paddon"
guilded@y combinator,guilded,2017,y combinator,Eli Brown
gumball@BoostVC,gumball,2013,BoostVC,"Carlos Cervantes, Jordan Simkin"
gun-2@BoostVC,gun-2,2014,BoostVC,Mark Nadal
gustav@y combinator,gustav,2017,y combinator,"Benjamin Bartakovics, Daniel Bartakovics, Jan Alexander Jedlinski, Michael G. StrÏ≤†ck"
gusto@y combinator,gusto,2012,y combinator,"Edward Kim, Joshua Reeves, Tomer London"
gymhit@500startups,gymhit,2016,500startups,"Gabriel Gomez, Nicholas Trosko"
habit-labs@y combinator,habit-labs,2010,y combinator,"Buster Benson, Jen McCabe"
hackerbay@NFX,hackerbay,2016,NFX,"Christian Georg Strobl, Marc Seitz, Michael Strobl, Tobias Jost"
hackermeter@y combinator,hackermeter,2013,y combinator,Frost Li
hackerrank@y combinator,hackerrank,2011,y combinator,"Harishankaran Karunanidhi, Vivek Ravisankar"
hackpad@y combinator,hackpad,2012,y combinator,"Alex Graveley, Igor Kofman"
haiku@y combinator,haiku,2018,y combinator,Zack Brown
halo-home@500startups,halo-home,2017,500startups,"Brian Cox, Lisa Konen, Rob Chong"
halolife@y combinator,halolife,2016,y combinator,"Jake Beyer, Sam Bolgert"
hamptons-lane@500startups,hamptons-lane,2016,500startups,Jim Sherman
handstack@500startups,handstack,2016,500startups,"Benjamin Jones, James Andrix, Jessica Hyejin Lee, Victor Konshin"
hapara@ImagineK12,hapara,2012,ImagineK12,"Jan Zawadzki, Tony Kong"
happy-inspector@500startups,happy-inspector,2012,500startups,"Andrew Mackenzie-Ross, Jindou Lee"
hashrabbit@BoostVC,hashrabbit,2014,BoostVC,"Chris Shepherd, Gabe Evans"
hauteday@y combinator,hauteday,2014,y combinator,"Dan Lin, Michael Witz"
havenly@500startups,havenly,2015,500startups,"Emily Motayed, Jessie Dixon, Lee Mayer"
haywheel@y combinator,haywheel,2016,y combinator,"Daniel Barabander, Mykel Pereira"
hazel-lane@500startups,hazel-lane,2015,500startups,
headnote@NFX,headnote,2016,NFX,"Sarah Schaaf, Thornton Schaaf"
tourlandish@500startups,tourlandish,2014,500startups,"Suren Sultania, Varun Khona, Vikram Jit Singh"
healthcrowd@TheAlchemistAccelerator,healthcrowd,2013,TheAlchemistAccelerator,"Clive Wu, Neng Bing Doh"
healthsherpa@y combinator,healthsherpa,2012,y combinator,"Catherine Perez, George Kalogeropoulos, Michael Wasser, Ning Liang"
heap@y combinator,heap,2013,y combinator,"Matin Movassate, Ravi Parikh"
heavyconnect-2@500startups,heavyconnect-2,2016,500startups,"Jessica Gonzalez, Patrick Zelaya"
hedgy@BoostVC,hedgy,2014,BoostVC,"Juan Pineda, Matt Slater, Tim Olson, Warren Paul Anderson"
helion-energy@y combinator,helion-energy,2014,y combinator,"Chris Pihl, David Kirtley, George Votroubek, John Slough"
helixnano@y combinator,helixnano,2017,y combinator,"Hannu Rajaniemi, Nikolai Eroshenko"
hello-chair@y combinator,hello-chair,2007,y combinator,"Kevin Corcoran, Luke Iannini, Michael Jacobs"
hellobit@500startups,hellobit,2015,500startups,Ali Goss
hello-world-3@500startups,hello-world-3,2011,500startups,
heroic-labs@y combinator,heroic-labs,2015,y combinator,"Andrei Mihu, Christopher Molozian, Mo Firouz"
heroku@y combinator,heroku,2008,y combinator,"Adam Wiggins, James Lindenbaum, Orion Henry"
hetexted@500startups,hetexted,2014,500startups,"Carrie Henderson McDermott, Lisa Winning"
hexa-3d@TheAlchemistAccelerator,hexa-3d,2017,TheAlchemistAccelerator,"Anders Fredriksson, Brendan Short, Marcus Sandberg"
hexel@y combinator,hexel,2018,y combinator,"John C. Palmer, Marcus Molchany"
heysan@y combinator,heysan,2007,y combinator,"Marie Brattberg, Michael Ossareh, PÏ±Ñr Lindhe"
heyzap@y combinator,heyzap,2009,y combinator,"Immad Akhund, Jude Gomila"
versed@y combinator,versed,2015,y combinator,"Brian Tobal, Jack McCloy, Karen Castelletti"
higherme@y combinator,higherme,2015,y combinator,"Evan Lodge, Jean-FranÏ±åois Chedeville, Josh Stevens, Rob Hunter"
highlightcam@y combinator,highlightcam,2009,y combinator,"Michael J.T. O'Kelly, Michael Katsevman"
hijro@BoostVC,hijro,2015,BoostVC,"Casey Lawlor, David Sutter, Lafe Taylor"
hingeto@y combinator,hingeto,2016,y combinator,"Ismail Maiyegun, Leandrew Robinson, Yaw Owusu Barimah"
hioperator@y combinator,hioperator,2016,y combinator,"Elizabeth Tsai, Phil Salesses"
hipmunk@y combinator,hipmunk,2010,y combinator,"Adam Goldstein, Steve Huffman"
hiptype@y combinator,hiptype,2012,y combinator,"James Levy, Sohail Prasad"
hireart@y combinator,hireart,2012,y combinator,"Dain Lewis, Elli Sharef, Nicholas Sedlet"
hirehive@y combinator,hirehive,2010,y combinator,"Eugene Deng, John Dennehy"
hirevisor@TheAlchemistAccelerator,hirevisor,2017,TheAlchemistAccelerator,"Oliver Zhou, Patrick Hillstrom"
histowiz@y combinator,histowiz,2016,y combinator,Ke Cheng
hivy@y combinator,hivy,2017,y combinator,"Pauline Tordeur, Pierre-Alain Loiseau, Simon-Pierre Behr"
hobobe@500startups,hobobe,2014,500startups,"James Tan, Michael Pan"
hogaru@y combinator,hogaru,2017,y combinator,"Gonzalo Ucar Rodriguez, Matteo Cera, Oscar PeÏ±∞a"
holidog@500startups,holidog,2014,500startups,"Julien Muller, St?áphane Degr??,51-100,3.0,,9/8/2015,2015.0,,,,Venture - Series Unknown,,,,Venture - Series Unknown,150000,USD,150000,150000,USD,150000,2.0,6.0,,,Private,0,,36.0,1,2014,4,42014,2010,29,1,5,38,8,12,1,0,1,1,27,0,0,1,26,0,0,0,0,5,5,5,5,5,0,5,2,3,2,0,2,3,0,0,0,0,19,4,24,25,1,13,12,3,0,0,0,0,0,2"
homebot@500startups,homebot,2016,500startups,"Ernie Graham, Ira McMahon"
homejoy@y combinator,homejoy,2010,y combinator,"Aaron Cheung, Adora Cheung"
honeydue@y combinator,honeydue,2017,y combinator,"Eugene Park, Thien Tran"
honor-2@NFX,honor-2,2015,NFX,"Cameron Ring, Monica Lo, Sandy Jen, Seth Sternberg"
hop-3@NFX,hop-3,2015,NFX,"Erez Pilosof, Guy Gamzu"
hoverchat@y combinator,hoverchat,2014,y combinator,"Ahmed Galal, Mostafa Gazar, Wael Nafee"
hubchilla@y combinator,hubchilla,2012,y combinator,
hum@y combinator,hum,2013,y combinator,Michael Jackson
humaninterest@y combinator,humaninterest,2015,y combinator,"Paul Sawaya, Roger Lee"
humble-bundle@y combinator,humble-bundle,2011,y combinator,"Jeffrey Rosen, John Graham"
designerscouch@500startups,designerscouch,2012,500startups,Damian Madray
hykso-inc@y combinator,hykso-inc,2016,y combinator,"Alexandre Lapointe, Alexandre Marcotte, Charles Lambert, Khalil Zahar, Patrick Chandler"
hyperink@y combinator,hyperink,2011,y combinator,"Kevin Gao, Matt Lee"
hyphen@500startups,hyphen,2017,500startups,"Arnaud Grunwald, Jean-Baptiste Pringuey, Ranjit Jose"
ibillionaire@500startups,ibillionaire,2016,500startups,"Alejandro Estrada, Raul Moreno"
icracked@y combinator,icracked,2012,y combinator,"AJ Forsythe, Anthony Martin"
imgfave@y combinator,imgfave,2012,y combinator,Gabe Ragland
imgix@y combinator,imgix,2011,y combinator,"Chris Zacharias, Jeremy Larkin"
imhome@y combinator,imhome,2013,y combinator,Kevin Xu
industrial-microbes@y combinator,industrial-microbes,2015,y combinator,"Derek Greenfield, Elizabeth Clarke, Noah Helman"
immunity-project@y combinator,immunity-project,2014,y combinator,"Howie Diamond, Ian Cinnamon, Naveen Jain, Reid Rubsamen"
impraise@y combinator,impraise,2014,y combinator,"Arnaud Camus, Bas Kohnke, Filipe Dobreira, Steffen Maier"
improvado-io@500startups,improvado-io,2017,500startups,Daniel Kravtsov
imubit@UpwestLabs,imubit,2015,UpwestLabs,"Gilad Cohen, Meir Tseitlin"
pretty-padded-room@y combinator,pretty-padded-room,2014,y combinator,Bea Arthur
answerly@y combinator,answerly,2010,y combinator,"Jason Konrad, Joe Fahrner"
incredible-health@NFX,incredible-health,2016,NFX,"Iman Abuzeid, Rome Portlock"
indee@y combinator,indee,2017,y combinator,Ryan Pawell
index@y combinator,index,2016,y combinator,Cezar Grigore
indinero@y combinator,indinero,2010,y combinator,"Andrea Barrica, Andy Su, Jessica Mah"
indio@500startups,indio,2016,500startups,"Adam Bratt, Matthew Watson, Michael Furlong"
indivio@y combinator,indivio,2017,y combinator,"Josh Dorward, Kenji Hashimoto"
infinitybox@y combinator,infinitybox,2006,y combinator,"Chris Campbell, Kevin Hale, Ryan Campbell"
influxdb@y combinator,influxdb,2013,y combinator,Paul Dix
infoharmoni@y combinator,infoharmoni,2010,y combinator,Kovas Boguta
chalk-schools@ImagineK12,chalk-schools,2012,ImagineK12,"Qian Wang, Sarah Chou"
innamed@y combinator,innamed,2017,y combinator,"Anup Singh, Eshwar Inapuri, Ronald AngSiy"
innovaccer@500startups,innovaccer,2015,500startups,"Abhinav Shashank, Kanav Hasija, Sandeep K Gupta"
innovein@y combinator,innovein,2016,y combinator,Austin Walker
inside-warehouse@TheAlchemistAccelerator,inside-warehouse,2014,TheAlchemistAccelerator,"Justin Taruska, Tadas Deksnys"
insitevr@y combinator,insitevr,2015,y combinator,"Angel Say, Russell Varriale"
instacart@y combinator,instacart,2012,y combinator,"Apoorva Mehta, Brandon Leonardo, Max Mullen"
instagis@500startups,instagis,2013,500startups,"Fernando Ovalle, Ignacio Canals, Julian Garcia"
instagrok@ImagineK12,instagrok,2012,ImagineK12,Kirill Kireyev
installmonetizer@y combinator,installmonetizer,2012,y combinator,"Llyod Jacob, Vince Mundy"
instantq@y combinator,instantq,2009,y combinator,Dana Levine
instavest-2@y combinator,instavest-2,2015,y combinator,"Mohammad Mithani, Saleem S. Khatri, Zain Allarakhia"
instawork@y combinator,instawork,2015,y combinator,"Saureen Shah, Sumir Meghani"
instrumentl@y combinator,instrumentl,2016,y combinator,"Angela Braren, Gauri Manglik, Katharine Corriveau"
scubaanalytics@y combinator,scubaanalytics,2013,y combinator,"Ann Johnson, Bobby Johnson, Lior Abraham"
intercom@500startups,intercom,2011,500startups,"Ciaran Lee, David Barrett, Des Traynor, Eoghan McCabe"
interstate@y combinator,interstate,2011,y combinator,"Amir Ghazvinian, Jamie Quint"
interviewed@y combinator,interviewed,2015,y combinator,Darren Nix
iris-automation-inc@y combinator,iris-automation-inc,2016,y combinator,"Alexander Harmsen, James Howard"
iron-ox@y combinator,iron-ox,2016,y combinator,"Brandon Alexander, Jon Binney"
isono-health@y combinator,isono-health,2016,y combinator,"Maryam Ziaei, Shadi Saberi"
italist@500startups,italist,2014,500startups,"Andrea milani, Giuseppe Sacco, Raffaele Giovine"
itoi@TheAlchemistAccelerator,itoi,2017,TheAlchemistAccelerator,Hernan Giraldo
ivee@500startups,ivee,2015,500startups,"Ben Silver, Jim Cortez, Jonathon Nostrant"
ivy@NFX,ivy,2015,NFX,"Alexandra Schinasi, Lee Rotenberg"
iwaboo-inc@500startups,iwaboo-inc,2015,500startups,"Ivan Marandola, Patrizia Mossa"
ixi-play@y combinator,ixi-play,2013,y combinator,Ruud Van der Aalst
jaco@UpwestLabs,jaco,2015,UpwestLabs,"Danni Friedland, Itay Adler, Ran Klein"
jellyfish-art@y combinator,jellyfish-art,2012,y combinator,"Alex Andon, Cameron Urban, Mark Regal"
jerpix-games@y combinator,jerpix-games,2013,y combinator,Jeff Pickhardt
jetinsight@NFX,jetinsight,2015,NFX,David Benjamin
joberator@y combinator,joberator,2008,y combinator,"Brian Eggleston, Jorge Ortiz"
jopwell@y combinator,jopwell,2015,y combinator,"Porter Braswell, Ryan Williams"
joytheapp@y combinator,joytheapp,2016,y combinator,"Kaiwalya Kher, Michael Dorian Bach, Vishal Joshi"
jumpcut-studios@y combinator,jumpcut-studios,2016,y combinator,"Jesse Jhaj, Kong Pham, Peter Lu"
junior-explorers-club@500startups,junior-explorers-club,2015,500startups,"Anurag Agarwal, Sarah Sheehan"
just-appraised@y combinator,just-appraised,2017,y combinator,"Imran Khoja, Travis Noll"
jymob@TheAlchemistAccelerator,jymob,2012,TheAlchemistAccelerator,"Deepa Joshi, Kedar Mhaswade"
kaizena@ImagineK12,kaizena,2013,ImagineK12,"Edward Sun, Maxwell Brodie"
kaleidoscope@y combinator,kaleidoscope,2011,y combinator,
kamcord@y combinator,kamcord,2012,y combinator,"Aditya Rathnam, Kevin Wang, Matt Zitzmann"
kangado@500startups,kangado,2014,500startups,"Kaliyuga Sivakumar, Sara Schaer"
kanler@500startups,kanler,2015,500startups,
kash-2@y combinator,kash-2,2014,y combinator,"Danny Su, Kaz Nejatian"
kaymbu@ImagineK12,kaymbu,2013,ImagineK12,Kin Lo
keewi-4@TheAlchemistAccelerator,keewi-4,2016,TheAlchemistAccelerator,"Hedi Razavi, Jennifer Tsau"
kestrel-materials@y combinator,kestrel-materials,2017,y combinator,
keyboardio@Highway1,keyboardio,2014,Highway1,"Jesse Vincent, Kaia Dekker"
keychain-logistics@y combinator,keychain-logistics,2012,y combinator,"Bryan Beshore, Garrett Wilson"
keywee@UpwestLabs,keywee,2012,UpwestLabs,"Arnon Joseph, Yaniv Makover"
kibin@500startups,kibin,2011,500startups,"Jim Nguyen, Travis Biziorek"
kickback@y combinator,kickback,2015,y combinator,Vlad Nov
kickpay@y combinator,kickpay,2015,y combinator,"Andrew McCalister, Sean Watters, Stefano Bernardi"
kicksend@y combinator,kicksend,2011,y combinator,"Brendan Lim, Pradeep Elankumaran"
kickup@ImagineK12,kickup,2015,ImagineK12,Jeremy Rogoff
kidpass@y combinator,kidpass,2017,y combinator,"Aaron Kaufman, Chhay Chhun, Solomon Liou"
kidzjet@500startups,kidzjet,2015,500startups,Benazir Shaikh
kiko@y combinator,kiko,2005,y combinator,"Emmett Shear, Justin Kan"
kiband@500startups,kiband,2016,500startups,"Jeff Hall, Jordan Baczuk, Spencer Behrend, Zack Oates"
