permalink+accelerator,permalink,cohort_year,accelerator,founders
tallyfy-ltd@500startups,tallyfy-ltd,2016,500startups,"Amit Kothari, Pravina Pindoria, Walker Hamilton"
tallyfy-ltd@TheAlchemistAccelerator,tallyfy-ltd,2016,TheAlchemistAccelerator,"Amit Kothari, Pravina Pindoria, Walker Hamilton"
taptolearn@y combinator,taptolearn,2012,y combinator,"Avinash Pandey, Roby John"
taptolearn@ImagineK12,taptolearn,2012,ImagineK12,"Avinash Pandey, Roby John"
ubiome@y combinator,ubiome,2014,y combinator,"Jessica Richman, Zachary Apte"
ubiome@500startups,ubiome,2013,500startups,"Jessica Richman, Zachary Apte"
unwind-me@y combinator,unwind-me,2014,y combinator,"Akaash Achreja, Milan Thakor"
unwind-me@500startups,unwind-me,2014,500startups,"Akaash Achreja, Milan Thakor"
vayable@500startups,vayable,2011,500startups,Jamie Wong
vayable@y combinator,vayable,2012,y combinator,Jamie Wong
volans-i@y combinator,volans-i,2017,y combinator,"Hannan Parvizian, Wesley Zheng"
volans-i@TheAlchemistAccelerator,volans-i,2015,TheAlchemistAccelerator,"Hannan Parvizian, Wesley Zheng"
volley-2@y combinator,volley-2,2018,y combinator,"James Wilsterman, Max Child"
volley-2@NFX,volley-2,2016,NFX,"James Wilsterman, Max Child"
wildfire-4@y combinator,wildfire-4,2017,y combinator,"Hriday Kemburu, Jay Patel, Tim Hyon, Vinay A. Ramesh"
wildfire-interactive@fbFund,wildfire-interactive,2008,fbFund,"Alain Chuard, Victoria Ransom"
wildfire-interactive@y combinator,wildfire-interactive,2017,y combinator,"Alain Chuard, Victoria Ransom"
wildfire-4@fbFund,wildfire-4,2008,fbFund,"Hriday Kemburu, Jay Patel, Tim Hyon, Vinay A. Ramesh"
wivity-inc@TheAlchemistAccelerator,wivity-inc,2017,TheAlchemistAccelerator,"Alfred Tom, J繹rg Brakensiek"
wivity-inc@500startups,wivity-inc,2016,500startups,"Alfred Tom, J繹rg Brakensiek"
dev-color@y combinator,dev-color,2016,y combinator,Makinde Adeagbo
10-by-10@y combinator,10-by-10,2017,y combinator,April Chang
1000memories@y combinator,1000memories,2010,y combinator,"Brett Huneycutt, Jonathan Good, Rudy Adler"
20n@y combinator,20n,2015,y combinator,"J.Christopher Anderson, Saurabh Srivastava"
21squared-inc@TheAlchemistAccelerator,21squared-inc,2018,TheAlchemistAccelerator,"Chin Man (Terence) Fong, Jonathan Brown"
280-north@y combinator,280-north,2008,y combinator,"Francisco Tolmasky, Ross Boucher, Tom Robinson"
300milligrams@500startups,300milligrams,2011,500startups,"Anton Litvinenko, Mark Kofman"
3sourcing@500startups,3sourcing,2013,500startups,"Rzvan Dinu, Tom Savage"
